,iata_code,name,latitude_deg,longitude_deg
0,LAX,Los Angeles International Airport,33.942501,-118.407997
1,ORD,Chicago O'Hare International Airport,41.9786,-87.9048
2,JFK,John F Kennedy International Airport,40.639447,-73.779317
3,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
4,SFO,San Francisco International Airport,37.61899948,-122.375
5,EWR,Newark Liberty International Airport,40.692501,-74.168701
6,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002
7,LAS,Harry Reid International Airport,36.083361,-115.151817
8,MCO,Orlando International Airport,28.42939949,-81.30899811
9,DEN,Denver International Airport,39.86169815,-104.6729965
10,LGA,La Guardia Airport,40.777199,-73.872597
11,IAD,Washington Dulles International Airport,38.9445,-77.455803
12,MIA,Miami International Airport,25.79319954,-80.29060364
13,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905
14,SEA,Seattle–Tacoma International Airport,47.449162,-122.311134
15,BOS,Logan International Airport,42.3643,-71.005203
16,PHL,Philadelphia International Airport,39.87189865,-75.2410965
17,CLT,Charlotte Douglas International Airport,35.2140007,-80.94309998
18,IAH,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015
19,DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697
20,DTW,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118
21,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802
22,FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702
23,SLC,Salt Lake City International Airport,40.785749,-111.979746
24,MDW,Chicago Midway International Airport,41.785999,-87.752403
25,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297
26,SAN,San Diego International Airport,32.73360062,-117.1900024
27,STL,St Louis Lambert International Airport,38.748697,-90.370003
28,HNL,Daniel K Inouye International Airport,21.32062,-157.924228
29,PDX,Portland International Airport,45.58869934,-122.5979996
30,MSY,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323
31,TPA,Tampa International Airport,27.97550011,-82.53320313
32,BNA,Nashville International Airport,36.12450027,-86.67819977
33,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801
34,AUS,Austin Bergstrom International Airport,30.197535,-97.662015
35,RDU,Raleigh Durham International Airport,35.877602,-78.787498
36,PIT,Pittsburgh International Airport,40.49150085,-80.23290253
37,SJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188
38,MCI,Kansas City International Airport,39.2976,-94.713898
39,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001
40,SAT,San Antonio International Airport,29.533701,-98.469803
41,SNA,John Wayne Orange County International Airport,33.675701,-117.867996
42,MEM,Memphis International Airport,35.04240036,-89.97669983
44,CLE,Cleveland Hopkins International Airport,41.411701,-81.8498
45,IND,Indianapolis International Airport,39.7173,-86.294403
48,CMH,John Glenn Columbus International Airport,39.998001,-82.891899
49,MKE,General Mitchell International Airport,42.94720078,-87.89659882
51,JAX,Jacksonville International Airport,30.49410057,-81.68789673
52,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062
54,ANC,Ted Stevens Anchorage International Airport,61.1744,-149.996002
56,SMF,Sacramento International Airport,38.69540024,-121.5910034
58,PBI,Palm Beach International Airport,26.68320084,-80.09559631
59,OMA,Eppley Airfield,41.3032,-95.894096
60,PVD,Theodore Francis Green State Airport,41.725038,-71.425668
62,SDF,Louisville Muhammad Ali International Airport,38.1744,-85.736
63,RNO,Reno Tahoe International Airport,39.49909973,-119.7679977
68,RSW,Southwest Florida International Airport,26.53619957,-81.75520325
69,RIC,Richmond International Airport,37.50519943,-77.31970215
70,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266
76,ONT,Ontario International Airport,34.05599976,-117.6009979
77,SYR,Syracuse Hancock International Airport,43.11119843,-76.10630035
84,PWM,Portland International Jetport,43.646198,-70.309303
87,TUL,Tulsa International Airport,36.19839859,-95.88809967
110,SFB,Orlando Sanford International Airport,28.77759933,-81.23750305
140,FAI,Fairbanks International Airport,64.81510162,-147.8560028
141,CMA,Camarillo International Airport,34.213699,-119.094002
560,ADW,Joint Base Andrews,38.810799,-76.866997
