iata_code,airport_size,airport_name,latitude_deg,longitude_deg,city,state_abbrev
LAX,3,Los Angeles International Airport,33.942501,-118.407997,Los Angeles,CA
ORD,3,Chicago O'Hare International Airport,41.9786,-87.9048,Chicago,IL
JFK,3,John F Kennedy International Airport,40.639447,-73.779317,New York,NY
ATL,3,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Atlanta,GA
SFO,3,San Francisco International Airport,37.61899948120117,-122.375,San Francisco,CA
EWR,3,Newark Liberty International Airport,40.692501,-74.168701,Newark,NJ
DFW,3,Dallas Fort Worth International Airport,32.896801,-97.038002,Dallas/Fort Worth,TX
LAS,3,Harry Reid International Airport,36.083361,-115.151817,Las Vegas,NV
MCO,3,Orlando International Airport,28.429399490356445,-81.30899810791016,Orlando,FL
DEN,3,Denver International Airport,39.861698150635,-104.672996521,Denver,CO
LGA,3,La Guardia Airport,40.777199,-73.872597,New York,NY
IAD,3,Washington Dulles International Airport,38.9445,-77.455803,Washington,VA
MIA,3,Miami International Airport,25.79319953918457,-80.29060363769531,Miami,FL
PHX,3,Phoenix Sky Harbor International Airport,33.435302,-112.005905,Phoenix,AZ
SEA,3,Seattle–Tacoma International Airport,47.449162,-122.311134,Seattle,WA
BOS,3,Logan International Airport,42.3643,-71.005203,Boston,MA
PHL,3,Philadelphia International Airport,39.87189865112305,-75.24109649658203,Philadelphia,PA
CLT,3,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,Charlotte,NC
IAH,3,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,Houston,TX
DCA,3,Ronald Reagan Washington National Airport,38.8521,-77.037697,Washington,DC
DTW,3,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,Detroit,MI
MSP,3,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,Minneapolis,MN
FLL,3,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,Fort Lauderdale,FL
SLC,3,Salt Lake City International Airport,40.785749,-111.979746,Salt Lake City,UT
MDW,3,Chicago Midway International Airport,41.785999,-87.752403,Chicago,IL
BWI,3,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,Baltimore,MD
SAN,3,San Diego International Airport,32.7336006165,-117.190002441,San Diego,CA
STL,3,St Louis Lambert International Airport,38.748697,-90.370003,St. Louis,MO
HNL,3,Daniel K Inouye International Airport,21.32062,-157.924228,Honolulu,HI
PDX,3,Portland International Airport,45.58869934,-122.5979996,Portland,OR
MSY,3,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,New Orleans,LA
TPA,3,Tampa International Airport,27.975500106811523,-82.533203125,Tampa,FL
BNA,3,Nashville International Airport,36.1245002746582,-86.6781997680664,Nashville,TN
CVG,3,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,Cincinnati,KY
AUS,3,Austin Bergstrom International Airport,30.197535,-97.662015,Austin,TX
RDU,3,Raleigh Durham International Airport,35.877602,-78.787498,Raleigh/Durham,NC
PIT,3,Pittsburgh International Airport,40.49150085,-80.23290253,Pittsburgh,PA
SJC,3,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,San Jose,CA
MCI,3,Kansas City International Airport,39.2976,-94.713898,Kansas City,MO
OAK,3,Metropolitan Oakland International Airport,37.721298,-122.221001,Oakland,CA
SAT,3,San Antonio International Airport,29.533701,-98.469803,San Antonio,TX
SNA,3,John Wayne Orange County International Airport,33.675701,-117.867996,Santa Ana,CA
