,iata_code,name,latitude_deg,longitude_deg
0,LAX,Los Angeles International Airport,33.942501,-118.407997
1,ORD,Chicago O'Hare International Airport,41.9786,-87.9048
2,JFK,John F Kennedy International Airport,40.639447,-73.779317
3,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
4,SFO,San Francisco International Airport,37.61899948120117,-122.375
5,EWR,Newark Liberty International Airport,40.692501,-74.168701
6,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002
7,LAS,Harry Reid International Airport,36.083361,-115.151817
8,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016
9,DEN,Denver International Airport,39.861698150635,-104.672996521
10,LGA,La Guardia Airport,40.777199,-73.872597
11,IAD,Washington Dulles International Airport,38.9445,-77.455803
12,MIA,Miami International Airport,25.79319953918457,-80.29060363769531
13,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905
14,SEA,Seattle–Tacoma International Airport,47.449162,-122.311134
15,BOS,Logan International Airport,42.3643,-71.005203
16,PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203
17,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594
18,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438
19,DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697
20,DTW,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203
21,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802
22,FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702
23,SLC,Salt Lake City International Airport,40.785749,-111.979746
24,MDW,Chicago Midway International Airport,41.785999,-87.752403
25,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297
26,SAN,San Diego International Airport,32.7336006165,-117.190002441
27,STL,St Louis Lambert International Airport,38.748697,-90.370003
28,HNL,Daniel K Inouye International Airport,21.32062,-157.924228
29,PDX,Portland International Airport,45.58869934,-122.5979996
30,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328
31,TPA,Tampa International Airport,27.975500106811523,-82.533203125
32,BNA,Nashville International Airport,36.1245002746582,-86.6781997680664
33,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801
34,AUS,Austin Bergstrom International Airport,30.197535,-97.662015
35,RDU,Raleigh Durham International Airport,35.877602,-78.787498
36,PIT,Pittsburgh International Airport,40.49150085,-80.23290253
37,SJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188
38,MCI,Kansas City International Airport,39.2976,-94.713898
39,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001
40,SAT,San Antonio International Airport,29.533701,-98.469803
41,SNA,John Wayne Orange County International Airport,33.675701,-117.867996
42,MEM,Memphis International Airport,35.04240036010742,-89.97669982910156
44,CLE,Cleveland Hopkins International Airport,41.411701,-81.8498
45,IND,Indianapolis International Airport,39.7173,-86.294403
48,CMH,John Glenn Columbus International Airport,39.998001,-82.891899
49,MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797
51,JAX,Jacksonville International Airport,30.49410057067871,-81.68789672851562
52,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062
54,ANC,Ted Stevens Anchorage International Airport,61.1744,-149.996002
56,SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875
58,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656
59,OMA,Eppley Airfield,41.3032,-95.894096
60,PVD,Theodore Francis Green State Airport,41.725038,-71.425668
62,SDF,Louisville Muhammad Ali International Airport,38.1744,-85.736
63,RNO,Reno Tahoe International Airport,39.49909973144531,-119.76799774169922
68,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031
69,RIC,Richmond International Airport,37.50519943237305,-77.3197021484375
70,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266
76,ONT,Ontario International Airport,34.055999755859375,-117.60099792480469
77,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039
84,PWM,Portland International Jetport,43.646198,-70.309303
87,TUL,Tulsa International Airport,36.19839859008789,-95.88809967041016
110,SFB,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781
140,FAI,Fairbanks International Airport,64.81510162,-147.8560028
560,ADW,Joint Base Andrews,38.810799,-76.866997
