iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,local_region
LAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125,California,CA
ORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,680,Illinois,IL
JFK,large_airport,John F Kennedy International Airport,40.639447,-73.779317,13,New York,NY
ATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,Georgia,GA
SFO,large_airport,San Francisco International Airport,37.61899948120117,-122.375,13,California,CA
EWR,large_airport,Newark Liberty International Airport,40.692501,-74.168701,18,New Jersey,NJ
DFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,Texas,TX
LAS,large_airport,Harry Reid International Airport,36.083361,-115.151817,2181,Nevada,NV
MCO,large_airport,Orlando International Airport,28.429399490356445,-81.30899810791016,96,Florida,FL
DEN,large_airport,Denver International Airport,39.861698150635,-104.672996521,5431,Colorado,CO
LGA,large_airport,La Guardia Airport,40.777199,-73.872597,21,New York,NY
IAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,312,Virginia,VA
MIA,large_airport,Miami International Airport,25.79319953918457,-80.29060363769531,8,Florida,FL
PHX,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,1135,Arizona,AZ
SEA,large_airport,Seattle–Tacoma International Airport,47.449162,-122.311134,433,Washington,WA
BOS,large_airport,Logan International Airport,42.3643,-71.005203,20,Massachusetts,MA
PHL,large_airport,Philadelphia International Airport,39.87189865112305,-75.24109649658203,36,Pennsylvania,PA
CLT,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,748,North Carolina,NC
IAH,large_airport,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,97,Texas,TX
DCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,District of Columbia,DC
DTW,large_airport,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645,Michigan,MI
MSP,large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,841,Minnesota,MN
FLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,Florida,FL
SLC,large_airport,Salt Lake City International Airport,40.785749,-111.979746,4227,Utah,UT
MDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,620,Illinois,IL
BWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,Maryland,MD
SAN,large_airport,San Diego International Airport,32.7336006165,-117.190002441,17,California,CA
STL,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,618,Missouri,MO
HNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,13,Hawaii,HI
PDX,large_airport,Portland International Airport,45.58869934,-122.5979996,31,Oregon,OR
MSY,large_airport,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,4,Louisiana,LA
TPA,large_airport,Tampa International Airport,27.975500106811523,-82.533203125,26,Florida,FL
BNA,large_airport,Nashville International Airport,36.1245002746582,-86.6781997680664,599,Tennessee,TN
CVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,896,Kentucky,KY
AUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542,Texas,TX
RDU,large_airport,Raleigh Durham International Airport,35.877602,-78.787498,435,North Carolina,NC
PIT,large_airport,Pittsburgh International Airport,40.49150085,-80.23290253,1203,Pennsylvania,PA
SJC,large_airport,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,62,California,CA
MCI,large_airport,Kansas City International Airport,39.2976,-94.713898,1026,Missouri,MO
OAK,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,9,California,CA
SAT,large_airport,San Antonio International Airport,29.533701,-98.469803,809,Texas,TX
SNA,large_airport,John Wayne Orange County International Airport,33.675701,-117.867996,56,California,CA
MEM,large_airport,Memphis International Airport,35.04240036010742,-89.97669982910156,341,Tennessee,TN
HOU,medium_airport,William P Hobby Airport,29.645399,-95.2789,46,Texas,TX
CLE,large_airport,Cleveland Hopkins International Airport,41.411701,-81.8498,791,Ohio,OH
IND,large_airport,Indianapolis International Airport,39.7173,-86.294403,797,Indiana,IN
DAL,medium_airport,Dallas Love Field,32.847099,-96.851799,487,Texas,TX
ABQ,medium_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,New Mexico,NM
CMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,Ohio,OH
MKE,large_airport,General Mitchell International Airport,42.947200775146484,-87.89659881591797,723,Wisconsin,WI
TUS,medium_airport,Tucson International Airport / Morris Air National Guard Base,32.115004,-110.938053,2643,Arizona,AZ
JAX,large_airport,Jacksonville International Airport,30.49410057067871,-81.68789672851562,30,Florida,FL
BUF,large_airport,Buffalo Niagara International Airport,42.94049835,-78.73220062,728,New York,NY
BDL,medium_airport,Bradley International Airport,41.93851,-72.688066,173,Connecticut,CT
ANC,large_airport,Ted Stevens Anchorage International Airport,61.1744,-149.996002,152,Alaska,AK
OKC,medium_airport,Will Rogers World Airport,35.393101,-97.6007,1295,Oklahoma,OK
SMF,large_airport,Sacramento International Airport,38.69540023803711,-121.59100341796875,27,California,CA
OGG,medium_airport,Kahului International Airport,20.898543,-156.431212,54,Hawaii,HI
PBI,large_airport,Palm Beach International Airport,26.68320083618164,-80.09559631347656,19,Florida,FL
OMA,large_airport,Eppley Airfield,41.3032,-95.894096,984,Nebraska,NE
PVD,large_airport,Theodore Francis Green State Airport,41.725038,-71.425668,55,Rhode Island,RI
BUR,medium_airport,Bob Hope Airport,34.197703,-118.356378,778,California,CA
SDF,large_airport,Louisville Muhammad Ali International Airport,38.1744,-85.736,501,Kentucky,KY
RNO,large_airport,Reno Tahoe International Airport,39.49909973144531,-119.76799774169922,4415,Nevada,NV
CHS,medium_airport,Charleston International Airport,32.898602,-80.040497,46,South Carolina,SC
ELP,medium_airport,El Paso International Airport,31.80719948,-106.3779984,3959,Texas,TX
ORF,medium_airport,Norfolk International Airport,36.8946,-76.201202,26,Virginia,VA
LGB,medium_airport,Long Beach Airport (Daugherty Field),33.816523,-118.149891,60,California,CA
RSW,large_airport,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,30,Florida,FL
RIC,large_airport,Richmond International Airport,37.50519943237305,-77.3197021484375,167,Virginia,VA
SAV,large_airport,Savannah Hilton Head International Airport,32.12760162,-81.20210266,50,Georgia,GA
BHM,medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,650,Alabama,AL
KOA,medium_airport,Ellison Onizuka Kona International Airport at Keahole,19.738783,-156.045603,47,Hawaii,HI
HPN,medium_airport,Westchester County Airport,41.06700134277344,-73.70760345458984,439,New York,NY
ALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,285,New York,NY
BOI,medium_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,Idaho,ID
ONT,large_airport,Ontario International Airport,34.055999755859375,-117.60099792480469,944,California,CA
SYR,large_airport,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,421,New York,NY
GRR,medium_airport,Gerald R. Ford International Airport,42.88079834,-85.52279663,794,Michigan,MI
ROC,medium_airport,Frederick Douglass Greater Rochester International Airport,43.1189,-77.672401,559,New York,NY
OSH,medium_airport,Wittman Regional Airport,43.98440170288086,-88.55699920654297,808,Wisconsin,WI
ICT,medium_airport,Wichita Eisenhower National Airport,37.649899,-97.433098,1333,Kansas,KS
DAY,medium_airport,James M Cox Dayton International Airport,39.902401,-84.219398,1009,Ohio,OH
GEG,medium_airport,Spokane International Airport,47.6199,-117.533997,2376,Washington,WA
PWM,large_airport,Portland International Jetport,43.646198,-70.309303,76,Maine,ME
DSM,medium_airport,Des Moines International Airport,41.534,-93.663101,958,Iowa,IA
LIT,medium_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729582,-92.223728,262,Arkansas,AR
TUL,large_airport,Tulsa International Airport,36.19839859008789,-95.88809967041016,677,Oklahoma,OK
COS,medium_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,Colorado,CO
MSN,medium_airport,Dane County Regional Truax Field,43.1399,-89.337502,887,Wisconsin,WI
TYS,medium_airport,McGhee Tyson Airport,35.811001,-83.994003,981,Tennessee,TN
MHT,medium_airport,Manchester-Boston Regional Airport,42.932598,-71.435699,266,New Hampshire,NH
BTV,medium_airport,Burlington International Airport,44.471901,-73.153297,335,Vermont,VT
PSP,medium_airport,Palm Springs International Airport,33.8297,-116.507004,477,California,CA
